Burn.ID,start,end,tile
ALB040,28/05/2019,29/05/2019,50HPG
DON051,19/03/2018,1/01/2019,50HLH
DON051,19/03/2018,1/01/2019,50HMH
DON076,30/03/2018,27/03/2019,50HMH
DON078,22/11/2017,29/03/2019,50HMH
DON079,8/05/2018,27/03/2019,50HLH
DON081,5/04/2018,9/01/2019,50HLG
DON096,26/03/2019,25/10/2019,50HMH
ESP014,29/12/2019,15/01/2020,51HVE
ESP014,29/12/2019,15/01/2020,51HVD
ESP015,29/12/2019,15/01/2020,51HVE
ESP015,29/12/2019,15/01/2020,51HVD
ESP016,25/12/2019,15/01/2020,51HUE
FRK050,17/11/2019,2/12/2019,50HMG
PHS128,7/05/2019,29/05/2019,50JML
SWC057,11/12/2019,20/12/2019,50HMJ
WTN006,6/11/2018,13/11/2019,50HMJ
WTN028,14/12/2019,20/12/2019,50HMJ
WTN085,3/05/2019,25/10/2019,50HMJ
