BURNID,site,class,predict
WTN028,YEJU1,UB,CB
WTN085,WJM19,CS,UB
PHS156,WB3,UB,CB
SWC051,KooianaRd2008cbi2,PS,CB
FRK050,LKL2,PS,UB
FRK050,LKM1b,CS,UB
FRK050,LKH1,CB,UB
SWC052,Yeal2001_plot1,,
SWC052,Yeal2001_plot2,,
SWC052,Yeal2001_plot3,,
SWC052,Yeal2001_plot4,,
SWC052,Yeal2001_plot6,,
SWC052,Yeal80_CBI1,,
SWC052,Yeal79_plot1,,
SWC052,Yeal80_plot2,,
SWC052,Yeal80_plot2a,,
SWC052,Yeal80_plot3,,
SWC052,Yeal2001_CBI1,,
SWC052,Yeal2001_CBI2,,
SWC052,Yeal2001_CBI3,,
PHS156,WB1OP,CB,UB
PHS156,WB2OP,CB,UB
PHS156,WB6OP,CB,UB
PHS156,WB3OP,CS,UB
WTN006,GJU1,UB,NS
PHS141,M51,CB,UB
PHS141,ub147,,
PHS136,ChB1OP,CB,UB
